Year,Entity,Code,Sales of cigarettes per adult per day,age-standardized_death_rate_per_100k_male,age-standardized_death_rate_per_100k_female
1900,United States,USA,0.1000000014901161,-99999,-99999
1901,United States,USA,0.1000000014901161,-99999,-99999
1902,United States,USA,0.1000000014901161,-99999,-99999
1903,United States,USA,0.1000000014901161,-99999,-99999
1904,United States,USA,0.2000000029802322,-99999,-99999
1905,United States,USA,0.2000000029802322,-99999,-99999
1906,United States,USA,0.2000000029802322,-99999,-99999
1907,United States,USA,0.2000000029802322,-99999,-99999
1908,United States,USA,0.2000000029802322,-99999,-99999
1909,United States,USA,0.30000001192092896,-99999,-99999
1910,United States,USA,0.4000000059604645,-99999,-99999
1911,United States,USA,0.4000000059604645,-99999,-99999
1912,United States,USA,0.5,-99999,-99999
1913,United States,USA,0.6000000238418579,-99999,-99999
1914,United States,USA,0.6000000238418579,-99999,-99999
1915,United States,USA,0.699999988079071,-99999,-99999
1916,United States,USA,1.0,-99999,-99999
1917,United States,USA,1.399999976158142,-99999,-99999
1918,United States,USA,1.7000000476837158,-99999,-99999
1919,United States,USA,1.7999999523162842,-99999,-99999
1920,United States,USA,1.7000000476837158,-99999,-99999
1921,United States,USA,1.8999999761581419,-99999,-99999
1922,United States,USA,1.8999999761581419,-99999,-99999
1923,United States,USA,2.299999952316284,-99999,-99999
1924,United States,USA,2.5,-99999,-99999
1925,United States,USA,2.700000047683716,-99999,-99999
1926,United States,USA,3.0,-99999,-99999
1927,United States,USA,3.7999999523162837,-99999,-99999
1928,United States,USA,4.0,-99999,-99999
1929,United States,USA,4.300000190734863,-99999,-99999
1930,United States,USA,4.300000190734863,-99999,-99999
1931,United States,USA,4.300000190734863,-99999,-99999
1932,United States,USA,4.400000095367432,-99999,-99999
1933,United States,USA,4.800000190734863,-99999,-99999
1934,United States,USA,5.300000190734863,-99999,-99999
1935,United States,USA,5.699999809265138,-99999,-99999
1936,United States,USA,6.0,-99999,-99999
1937,United States,USA,6.0,-99999,-99999
1938,United States,USA,6.0999999046325675,-99999,-99999
1939,United States,USA,6.300000190734862,-99999,-99999
1940,United States,USA,6.5,-99999,-99999
1941,United States,USA,6.800000190734862,-99999,-99999
1942,United States,USA,7.4000000953674325,-99999,-99999
1943,United States,USA,7.800000190734862,-99999,-99999
1944,United States,USA,7.0,-99999,-99999
1945,United States,USA,8.100000381469728,-99999,-99999
1946,United States,USA,8.899999618530273,-99999,-99999
1947,United States,USA,9.100000381469727,-99999,-99999
1948,United States,USA,9.300000190734863,-99999,-99999
1949,United States,USA,9.300000190734863,-99999,-99999
1950,United States,USA,9.300000190734863,19.56,4.34
1951,United States,USA,9.800000190734863,20.73,4.35
1952,United States,USA,10.0,22.38,4.52
1953,United States,USA,9.699999809265137,24.35,4.41
1954,United States,USA,9.199999809265137,25.3,4.43
1955,United States,USA,9.399999618530273,26.96,4.58
1956,United States,USA,9.399999618530273,28.96,4.72
1957,United States,USA,9.699999809265137,30.13,4.75
1958,United States,USA,10.19999980926514,31.09,4.95
1959,United States,USA,10.5,32.6,5.03
1960,United States,USA,10.69999980926514,34.23,5.14
1961,United States,USA,11.0,35.77,5.54
1962,United States,USA,10.899999618530268,37.57,5.77
1963,United States,USA,11.0,38.96,6.17
1964,United States,USA,10.60000038146973,40.5,6.36
1965,United States,USA,10.69999980926514,42.14,6.87
1966,United States,USA,10.69999980926514,44.07,7.36
1967,United States,USA,10.69999980926514,45.84,7.85
1968,United States,USA,10.39999961853027,48.85,8.98
1969,United States,USA,10.0,49.91,9.56
1970,United States,USA,10.19999980926514,51.66,10.23
1971,United States,USA,9.899999618530273,52.79,10.99
1972,United States,USA,10.19999980926514,54.72,11.83
1973,United States,USA,10.69999980926514,55.52,12.24
1974,United States,USA,10.60000038146973,57.04,13.17
